image_path,sample_id,center,class_name,target,split
center_1/ndbe/f6482bca196d4f8ca051515518844ac8.png,f6482bca196d4f8ca051515518844ac8.png,center_1,ndbe,0,fold_3
center_1/ndbe/2e4c25257d2b4309b9ee77c72c3b8348.png,2e4c25257d2b4309b9ee77c72c3b8348.png,center_1,ndbe,0,fold_1
center_1/ndbe/8036a5c0c3d040c9927f15eacdfd095c.png,8036a5c0c3d040c9927f15eacdfd095c.png,center_1,ndbe,0,fold_0
center_1/ndbe/b085c18138e54d428410b92419204f76.png,b085c18138e54d428410b92419204f76.png,center_1,ndbe,0,fold_1
center_1/ndbe/daa4c97b20634abbbe65e630b4c00b5f.png,daa4c97b20634abbbe65e630b4c00b5f.png,center_1,ndbe,0,fold_4
center_1/ndbe/597521a29be14893988b4fdf397faf88.png,597521a29be14893988b4fdf397faf88.png,center_1,ndbe,0,fold_4
center_1/ndbe/7addb90c6064436bafe0bfd3e4705731.png,7addb90c6064436bafe0bfd3e4705731.png,center_1,ndbe,0,fold_4
center_1/ndbe/816b9aead899431788d1fe285cf8539c.png,816b9aead899431788d1fe285cf8539c.png,center_1,ndbe,0,fold_1
center_1/ndbe/5ff79394bca641e99985422dcf0d6cd2.png,5ff79394bca641e99985422dcf0d6cd2.png,center_1,ndbe,0,fold_0
center_1/ndbe/2c3932cb8df642ffb281f275b637695c.png,2c3932cb8df642ffb281f275b637695c.png,center_1,ndbe,0,fold_1
center_1/ndbe/41b461675edf4d6c8f08b9965a3427b4.png,41b461675edf4d6c8f08b9965a3427b4.png,center_1,ndbe,0,fold_1
center_1/ndbe/f85937ba8409408fafa8e1de9e543d74.png,f85937ba8409408fafa8e1de9e543d74.png,center_1,ndbe,0,fold_3
center_1/ndbe/48625ae386674cf8a25b8bae719b5898.png,48625ae386674cf8a25b8bae719b5898.png,center_1,ndbe,0,fold_3
center_1/ndbe/0abf3b9e102e4cf5818df7bd98d31757.png,0abf3b9e102e4cf5818df7bd98d31757.png,center_1,ndbe,0,fold_0
center_1/ndbe/81ebafe30655432f96f76d304f996afa.png,81ebafe30655432f96f76d304f996afa.png,center_1,ndbe,0,fold_4
center_1/ndbe/7bf62f0f2659446f8085f397dbd3de64.png,7bf62f0f2659446f8085f397dbd3de64.png,center_1,ndbe,0,fold_3
center_1/ndbe/33db8ccca68c4844b14c41bbf9680023.png,33db8ccca68c4844b14c41bbf9680023.png,center_1,ndbe,0,fold_0
center_1/ndbe/e7cd354930614200aefa45ce09087ad4.png,e7cd354930614200aefa45ce09087ad4.png,center_1,ndbe,0,fold_2
